Índice	Link	Data	Título	Primeiro Parágrafo	Temática	Região	Estado	Município
1	https://operacaocovid19.defesa.gov.br/noticias/noticia/740	21/03/2020	Militares da Marinha atuam na retirada de passageiros de navio de cruzeiro em Recife	Como parte da Operação Covid-19 do Ministério da Defesa, a Marinha atuou, neste sábado (21), na retirada de passageiros de um navio de cruzeiro retido em Recife (PE), desde que um passageiro foi atestado com Covid-19. Militares especializados em Defesa Biológica, Nuclear, Química e Radiológica (DBNQR) foram empregados na missão.	Apoio Logístico	Nordeste	PE	Recife
13	https://operacaocovid19.defesa.gov.br/noticias/noticia/752	27/03/2020	Militares das Forças Armadas realizam descontaminação de espaços públicos	Dando continuidade às atividades no combate ao Coronavírus em todo país, militares das Forças Armadas atuam na descontaminação de locais públicos no Rio de Janeiro (RJ). As ações fazem parte da Operação Covid-19, que ativou 10 comandos conjuntos distribuídos por todo o Brasil, sob coordenação do Ministério da Defesa.	Inspeções Sanitárias		Centro-Oeste	DF	Brasília
14	https://operacaocovid19.defesa.gov.br/noticias/noticia/753	28/03/2020	Forças Armadas combatem coronavírus com equipes especializadas em defesa biológica	 Na Operação COVID-19, as expertises existentes junto às tropas especializadas em Defesa Biológica, Nuclear, Química e Radiológica (DBNQR), da Marinha, Exército e Aeronáutica têm possibilitado o monitoramento, a identificação, o balizamento da área e a descontaminação de pessoal, material e veículos.	Apoio Logístico		Centro-Oeste	DF	Brasília
15	https://operacaocovid19.defesa.gov.br/noticias/noticia/754	28/03/2020	Forças Armadas desinfectam estações de transporte público em Brasília e no Rio	As Forças Armadas realizarão a desinfecção da Estação Central do metrô em Brasília, neste sábado (28), a partir das 23h. Já na parte da manhã e da tarde, os militares descontaminaram os terminais Jardim Oceânico, Alvorada e Recreio, no Rio de Janeiro. As ações acontecem durante a Operação Covid-19, que ativou 10 Comandos Conjuntos espalhados por todo o Brasil e é coordenada pelo Ministério da Defesa.	Higienização		Centro-Oeste	DF	Brasília
16	https://operacaocovid19.defesa.gov.br/noticias/noticia/755	29/03/2020	Forças Armadas ampliam ações de prevenção ao Coronavírus durante a Operação Covid 19	As Forças Armadas intensificaram as ações de combate ao Coronavírus em todo o território nacional. Marinha, Exército e Aeronáutica vêm estabelecendo medidas profiláticas em locais estratégicos, desde que foi deflagrada a Operação Covid-19, que ativou 10 Comandos Conjuntos, além de um Comando Aeroespacial permanente, sob coordenação do Ministério da Defesa.	Apoio Logístico		Centro-Oeste	DF	Brasília
17	https://operacaocovid19.defesa.gov.br/noticias/noticia/756	27/03/2020	Ministério da Defesa reforça ações do governo federal na guerra contra a COVID-19	Com o objetivo de fortalecer as ações do governo federal na Operação COVID-19, o Ministério da Defesa (MD) está cadastrando as empresas que atuam no setor de Defesa. A meta na ação denominada “COVID-19, Produtos ao Alcance de Todos” é identificar as empresas que podem fornecer equipamentos para auxiliar no combate ao vírus.	Apoio Logístico		Centro-Oeste	DF	Brasília
18	https://operacaocovid19.defesa.gov.br/noticias/noticia/757	29/03/2020	Laboratórios das Forças Armadas ampliam produção de álcool em gel e cloroquina	Diante da pandemia de coronavírus no Brasil, os laboratórios químicos das Forças Armadas aumentaram a produção de álcool em gel e de cloroquina. Essa nova produção em caráter emergencial acontece de forma conjunta no Laboratório Farmacêutico da Marinha (LFM), no Laboratório Químico Farmacêutico do Exército (LQFEx) e no Laboratório Químico Farmacêutico da Força Aérea (LAQFA), todos localizados no Rio de Janeiro (RJ).	Apoio de Saúde		Centro-Oeste	DF	Brasília
20	https://operacaocovid19.defesa.gov.br/noticias/noticia/759	21/03/2020	Centro de Operações Conjuntas do MD é ativado para ações de combate à COVID-19  	Ministério da Defesa (MD) ativou, na última sexta-feira (20), o Centro de Operações Conjuntas para atuar na coordenação e planejamento do emprego das Forças Armadas no combate à COVID-19. Foram ativados também dez Comandos Conjuntos, que cobrem todo o território nacional, além do Comando Aeroespacial (COMAE), de funcionamento permanente.	Apoio Logístico		Centro-Oeste	DF	Brasília
21	https://operacaocovid19.defesa.gov.br/noticias/noticia/760	30/03/2020	Ministério oferece produtos das Empresas de Defesa para órgão de Saúde  	 O Ministério da Defesa, por meio da Secretaria de Produtos de Defesa (SEPROD), iniciou, nesta segunda-feira (30), a segunda etapa da ação denominada “COVID-19, Produtos ao Alcance de Todos”. Trata-se de iniciativa para disponibilizar informações sobre as empresas que atuam no setor de Defesa, que podem fornecer equipamentos para auxiliar no combate ao Coronavirus para órgãos públicos. A lista, com os nomes das empresas, locais onde atuam e os equipamentos que podem fornecer, será enviada ao Ministério da Saúde, às Forças Armadas e ao Conselho Nacional de Secretarias Municipais de Saúde (CONASEMS).	Apoio de Saúde		Centro-Oeste	DF	Brasília
22	https://operacaocovid19.defesa.gov.br/noticias/noticia/761	23/03/2020	FAB suspende Processos Seletivos e Exame de Admissão	Suspensão do processo de Convocação e Incorporação de Profissionais de Nível Superior e do Exame de Admissão ao Curso de Formação de Sargentos da Aeronáutica tem em vista protocolos para enfrentamento, prevenção e controle do novo Coronavírus	Comunicação		Centro-Oeste	DF	Brasília
23	https://operacaocovid19.defesa.gov.br/noticias/noticia/762	24/03/2020	HABE ativa nova área para atendimento com foco em COVID-19	Hospital de Aeronáutica de Belém organiza setor especial para atender casos suspeitos de COVID-19	Apoio de Saúde		Centro-Oeste	DF	Brasília
24	https://operacaocovid19.defesa.gov.br/noticias/noticia/763	24/03/2020	Duas aeronaves da FAB iniciam missão de resgate de brasileiros no Peru	Aeronaves C-130 Hércules decolaram do Rio de Janeiro (RJ) e de Belém (PA) com equipe de saúde especializada e materiais embarcados	Apoio Logístico		Centro-Oeste	DF	Brasília
25	https://operacaocovid19.defesa.gov.br/noticias/noticia/764	26/03/2020	Laboratório Químico-Farmacêutico da Aeronáutica auxilia no combate ao Coronavírus	LQFA adquiriu materiais para abastecer Unidades de Saúde e militares e civis da Aeronáutica que estão à frente do atendimento	Apoio de Saúde		Centro-Oeste	DF	Brasília
26	https://operacaocovid19.defesa.gov.br/noticias/noticia/765	26/03/2020	FAB transporta cidadãos brasileiros que estavam em Cuzco, no Peru	Duas aeronaves C-130 Hércules do 1°/1° GT foram empregadas na missão.	Apoio Logístico		Sudeste	RJ	
27	https://operacaocovid19.defesa.gov.br/noticias/noticia/766	30/03/2020	Militares das Forças Armadas multiplicam conhecimentos para atuação na Operação Covid-19	As Forças Armadas estão ampliando a capacitação de seus militares e agentes civis para atuarem na Defesa Biológica, Nuclear, Química e Radiológica (BNQR) durante a Operação COVID-19 em todo território nacional.	Apoio Logístico		Centro-Oeste	DF	Brasília
28	https://operacaocovid19.defesa.gov.br/noticias/noticia/767	30/03/2020	Forças Armadas seguem no combate ao Coronavírus e no apoio à população em quarentena	Em todas as Unidades da Federação, militares das Forças Armadas estão envolvidos no combate ao Coronavírus. Até o momento, a Operação Covid-19 conta com mais de 5,5 mil mulheres e homens da Marinha, do Exército e da Aeronáutica. Cerca de 660 viaturas, 53 embarcações, três aeronaves estão sendo empregadas pelos 10 Comandos Conjuntos e pelo Comando Aeroespacial permanente.	Comunicação		Centro-Oeste	DF	Brasília
29	https://operacaocovid19.defesa.gov.br/noticias/noticia/768	30/03/2020	Hospitais de Campanha apoiam o combate a COVID-19	Desde o dia 20 de março, a Marinha, o Exército e a Aeronáutica têm atuado conjuntamente em função da ativação do Centro de Operações Conjuntas (COC), situado no Ministério da Defesa (MD), em Brasília (DF), que está interligado a dez Comandos Conjuntos, distribuídos por todo o território nacional, para combater o surto de COVID-19.	Coordenação		Centro-Oeste	DF	Brasília
31	https://operacaocovid19.defesa.gov.br/noticias/noticia/770	30/03/2020	Militares realizam treinamento em Defesa Nuclear, Biológica, Química e Radiológica para Operação Covid-19	Militares da Marinha do Brasil (MB) e do Exército Brasileiro (EB) iniciaram, em 25 de março, capacitação em Defesa Nuclear, Biológica, Química e Radiológica (NBQR) para atuarem na Operação Covid-19 nos estados do Rio Grande do Norte e da Paraíba.	Apoio Logístico		Centro-Oeste	DF	Brasília
32	https://operacaocovid19.defesa.gov.br/noticias/noticia/771	27/03/2020	Força de Fuzileiros da Esquadra apoia ações preventivas contra o COVID-19	No dia 25 de março, um destacamento composto por militares da Companhia de Defesa Nuclear, Biológica, Química e Radiológica (DefNBQR) do Batalhão de Engenharia de Fuzileiros Navais foi empregado em atividades de descontaminação preventiva no Navio de Desembarque de Carros de Combate “Almirante Saboia”, em seu retorno da Operação “Apolog Sul 2020”. A ação teve como principal propósito reforçar os cuidados contra o novo coronavírus (CODIV-19).	Higienização		Centro-Oeste	DF	Brasília
33	https://operacaocovid19.defesa.gov.br/noticias/noticia/772	31/03/2020	Região militar participava de ações de combate ao Coronavírus	Visando apoiar no combate ao coronavírus e evitar que ele se prolifere em Minas Gerais, a 4ª Região Militar atendeu ao pedido da Prefeitura de Belo Horizonte e cedeu 15 militares que, divididos em três equipes, estão atuando em diversas atividades administrativas para agilizar os atendimentos em Unidades de Pronto Atendimento (UPA) do Barreiro, Santa Efigênia e Venda Nova.	Apoio de Saúde		Sudeste	MG	Belo Horizonte
34	https://operacaocovid19.defesa.gov.br/noticias/noticia/773	31/03/2020	Organizações militares da brigada apoiam grupo hospitalar de santiago	Seguindo na missão de combater o coronavírus (COVID-19), o Comando da 1ª Brigada de Cavalaria Mecanizada (1ª Bda C Mec), no dia 23 de março, montou um posto de triagem em frente ao Grupo Hospitalar de Santiago (GHS), empregando o 9º Batalhão Logístico, 19º Grupo de Artilharia de Campanha, Esquadrão de Comando da 1ª Bda C Mec e a 11ª Companhia de Comunicações Mecanizada, com o intuito de controlar a entrada do hospital. No local, militares estão auxiliando médicos e enfermeiros, com a finalidade de resguardar o mesmo de uma possível proliferação do vírus.	Apoio de Saúde		Sudeste	RS	Santiago
35	https://operacaocovid19.defesa.gov.br/noticias/noticia/774	31/03/2020	Esquadrão atuante no enfrentamento da covid-19	No dia 25 de março, O 16º Esquadrão de Cavalaria Mecanizado (16º Esqd C Mec), unindo esforços em apoio à sociedade na mitigação da pandemia COVID-19, participou de uma operação na fronteira entre Brasil e Argentina, na região de Capanema (PR). O 16º Esqd C Mec, juntamente com a Policia Federal, Receita Federal e Força Nacional de Segurança Pública, contribui para a manutenção da ordem pública, com ações de bloqueio conjunto na fronteira dos dois países.	Apoio Logístico		Sudeste	PR	Francisco Beltrão
36	https://operacaocovid19.defesa.gov.br/noticias/noticia/775	31/03/2020	Campanha de prevenção ao covid-19	Em consonância com as diretrizes sobre o coronavírus no âmbito do Exército Brasileiro, o 12º Batalhão de Engenharia de Combate Blindado (12º BE Cmb Bld) realiza diversas ações com o objetivo de impedir o surgimento de casos na organização militar (OM) e em apoio a comunidade de Alegrete. O Batalhão mobilizou parte dos seus meios logísticos para montagem de um posto de triagem da guarnição na entrada do Hospital da Santa Casa do Município de Alegrete, medida que visa a triagem dos casos suspeitos.	Apoio Logístico		Sudeste	RS	Alegrete 
37	https://operacaocovid19.defesa.gov.br/noticias/noticia/776	31/03/2020	Militares realizam descontaminação do terminal rodoviário de belém	No dia 30 de março, militares do 8° Depósito de Suprimento e do 2° Batalhão de Infantaria de Selva realizaram a descontaminação da área interna e externa do Terminal Rodoviário de Belém, bem como as vias de acesso utilizando bomba costal e uma viatura cisterna com capacidade para 15 mil litros, contendo substâncias químicas descontaminantes. A atividade, que teve início às 19h e seguiu até às 23h, faz parte de um conjunto de ações que vem sendo realizadas pelo Comando Conjunto Norte, sob coordenação do Ministério da Defesa, a fim de evitar a propagação do COVID-19 e manter a segurança da população que trafega no local.	Higienização		Norte	PA	Belém
38	https://operacaocovid19.defesa.gov.br/noticias/noticia/777	27/03/2020	Marinha atua na desinfecção da Estação das Barcas na Praça XV 	A Marinha do Brasil, por meio do Comando Conjunto Leste, deu início, no dia 26 de março, à desinfecção de lugares de grande circulação de passageiros de transportes públicos na capital fluminense, a fim de evitar a disseminação do coronavírus. A Estação das Barcas, na Praça XV, foi o primeiro local a ser desinfectado, em uma ação que contou com a participação de 49 militares do Corpo de Fuzileiros Navais, treinados em procedimentos de Defesa Nuclear Biológica, Química e Radiológica (NBQR)	Higienização		Sudeste	RJ	Rio de Janeiro
39	https://operacaocovid19.defesa.gov.br/noticias/noticia/778	30/03/2020	Marinha do Brasil realiza Estágio de Descontaminação Biológica 	Como parte dos esforços da Marinha do Brasil na Operação Covid-19, do Ministério da Defesa, o Comando do 8º Distrito destacou parte de seu efetivo, com militares lotados no Batalhão de Defesa Nuclear, Biológica, Química e Radiológica de Aramar a fim de realizar Estágio de Descontaminação Biológica com Grupamento Operativo de Fuzileiros Navais e militares do Exército Brasileiro do Comando Militar do Sudeste, nas instalações da Capitania dos Portos de São Paulo, sediada no município de Santos-SP.	Higienização		Sudeste	SP	Santos
40	https://operacaocovid19.defesa.gov.br/noticias/noticia/779	30/03/2020	Capitania dos Portos do Piauí atua em campanha contra novo coronavírus	A Capitania dos Portos do Piauí (CPPI) realizou, entre os dias 23 e 27 de março, campanhas de conscientização e prevenção do novo coronavírus (Covid-19) junto à população piauiense.	Comunicação		Nordeste	PI	Parnaíba
41	https://operacaocovid19.defesa.gov.br/noticias/noticia/780	30/03/2020	2° BtlOpRib promove adestramento de descontaminação para militares das Forças Armadas	O 2° Batalhão de Operações Ribeirinhas (2°BtlOpRib) promoveu, no período de 25 a 28 de março, o estágio básico de descontaminação Nuclear, Bacteriológica, Química e Radiológica (NBQR) para capacitar militares no combate contra o novo Coronavírus (Covid-19). A atividade contou com a participação de 11 militares do Exército Brasileiro, cinco da Força Aérea Brasileira e cinco do Comando do 4° Distrito Naval.	Coordenação				
42	https://operacaocovid19.defesa.gov.br/noticias/noticia/781	30/03/2020	Batalhão recebe ressuprimento aéreo para ações contra o coronavírus	O 3° Batalhão de Infantaria de Selva (Regimento Ararigbóia) recebeu, no dia 27 de março, o ressuprimento aéreo da 12ª Região Militar (Região Mendonça Furtado). A aeronave (C-105 Amazonas) pousou no aeroporto de Barcelos e foram entregues materiais Classe VIII (Material de Saúde) para a Unidade.	Apoio de Saúde		Norte	AM	Barcelos
43	https://operacaocovid19.defesa.gov.br/noticias/noticia/782	30/03/2020	Prevenção ao novo coronavirus	O 2º Regimento de Cavalaria Mecanizado está atuando, de forma simultânea, em três municípios de sua área de responsabilidade: São Borja, Santo Antônio das Missões e Itacurubi, em cooperação com integrantes das Secretarias de Saúde locais.	Comunicação		Sul	RS	São Borja
44	https://operacaocovid19.defesa.gov.br/noticias/noticia/783	30/03/2020	Regimento de Itaqui na prevenção e combate ao coronavírus	No dia 26 de março, o 1º Regimento de Cavalaria Mecanizado (1º RC Mec), “Regimento Sá Britto”, apoiou a comunidade na prevenção e combate ao contágio do novo coronavírus (COVID-19) e a Secretaria Municipal de Saúde de Itaqui	Apoio Logístico		Sul	RS	Itaqui
45	https://operacaocovid19.defesa.gov.br/noticias/noticia/784	30/03/2020	Capacitação para o combate ao covid-19	No dia 27 de março, o Comando de Fronteira Acre/4° Batalhão de Infantaria de Selva, em parceria com a Universidade Federal do Acre (UFAC), realizou capacitação para os militares do Batalhão com o auxílio dos acadêmicos de Medicina.	Apoio de Saúde		Norte	AC	Rio Branco
46	https://operacaocovid19.defesa.gov.br/noticias/noticia/785	30/03/2020	Unidade de terapia intensiva de contingenciamento em Tabatinga	Já se encontra em condições de funcionamento a Unidade de Terapia Intensiva de contingenciamento do Hospital de Guarnição de Tabatinga. A nova unidade dobra de 5 para 10 o número de leitos com respiradores do hospital e serve de retaguarda para a família militar e população civil da região. O Hospital de Guarnição de Tabatinga, seus militares e servidores civis estão preparados para o enfrentamento aos casos mais graves de Covid-19.	Apoio de Saúde		Norte	AM	Tabatinga
47	https://operacaocovid19.defesa.gov.br/noticias/noticia/786	30/03/2020	Prevenção e controle em terminais de BRT no Rio de Janeiro	Em continuidade às medidas de prevenção e controle da pandemia oriunda do novo coronavírus (Covid-19), o Comando Conjunto Leste (Cmdo Cj L) realizou mais uma ação de desinfecção. No dia 28 de março, militares da Marinha e do Exército Brasileiro aplicaram produtos descontaminantes nas catracas, corrimãos, validadores e outros pontos nos terminais do BRT (Ônibus de Trânsito Rápido) Alvorada, Jardim Oceânico e Recreio, na zona oeste do Rio de Janeiro.	Higienização		Sudeste	RJ	Rio de Janeiro
48	https://operacaocovid19.defesa.gov.br/noticias/noticia/787	30/03/2020	Operação covid–19	Na tarde do dia 28 de março de 2020, o 51º Batalhão de Infantaria de Selva realizou ações de desinfecção, com o intuito de prevenir e diminuir o risco de propagação e infecção pelo novo coronavírus. Foram realizadas ações na Rodoviária Municipal e na Balsa que liga Altamira e a Agro Vila Sol Nascente. Este apoio à população faz parte da Operação COVID-19.	Higienização		Norte	PA	Altamira
49	https://operacaocovid19.defesa.gov.br/noticias/noticia/788	28/03/2020	Enfrentamento ao coronavírus em Goiás	No dia 24 de março, em uma ação coordenada pelo Comando Conjunto Planalto, viaturas do Exército Brasileiro, com militares do Batalhão da Guarda Presidencial (BGP) e Comando de Operações Especiais (COpEsp), percorreram as ruas de Luziânia (GO) e Valparaíso de Goiás (GO) fazendo uma campanha de conscientização e alertando a população sobre os cuidados necessários para evitar o contágio pelo coronavírus.	Comunicação		Centro-Oeste	GO	Luziânia
50	https://operacaocovid19.defesa.gov.br/noticias/noticia/789	27/03/2020.	Quartel em Maceió sedia reunião interagências no combate à covid-19	Na tarde do dia 23 de março, o 59º Batalhão de Infantaria Motorizado (59º BI Mtz) realizou, no seu aquartelamento, uma reunião com instituições federais, estaduais e municipais sediadas em Alagoas e envolvidas no combate ao novo coronavirus (COVID-19).	Coordenação		Nordeste	AL	Maceió
51	https://operacaocovid19.defesa.gov.br/noticias/noticia/790	27/03/2020	Instalação de posto de triagem	No dia 23 de março, o Centro de Preparação de Oficiais da Reserva do Recife (CPOR/R), Centro Heróis de Casa Forte, instalou em suas dependências um posto de triagem, para verificar o estado de saúde dos militares do Centro.	Apoio de Saúde		Nordeste	PE	Recife 
52	https://operacaocovid19.defesa.gov.br/noticias/noticia/791	31/03/2020	Nota Conjunta do MD e do MS: Defesa apoia Saúde na distribuição de produtos de combate à Covid-19	Uma aeronave C-130 (Hércules), da Força Aérea Brasileira, decola, nesta quarta-feira (1/4), às 12h, do Aeroporto de Guarulhos-SP, com destino a três capitais brasileiras. O voo faz escala em Recife, São Luis e Belém, a fim de transportar cerca de 14 toneladas de Equipamentos de Proteção Individual (EPIs), álcool em gel e medicamentos.	Apoio Logístico		Centro-Oeste	DF	Brasília
53	https://operacaocovid19.defesa.gov.br/noticias/noticia/792	31/03/2020	Grupo participa da operação covid-19	O 19º Grupo de Artilharia de Campanha (19º GAC), subordinado a 1ª Brigada de Cavalaria Mecanizada (1ª Bda C Mec), iniciou, no dia 22 de março, apoio a Defesa Civil do município de Santiago, com a finalidade de mitigar os impactos causados da pandemia do novo coronavírus (COVID-19) na população local. O Grupo Barão de Batovy está empregando seu efetivo para realizar o controle e balizamento do trânsito na BR-287 e RS-377, ambas na entrada da cidade, e agentes públicos do município fazem a abordagem dos motoristas.	Apoio Logístico		Sul	RS	Santiago 
54	https://operacaocovid19.defesa.gov.br/noticias/noticia/793	26/03/2020	Brigada alerta sobre o covid-19	A 11ª Companhia de Comunicações Mecanizada (11ª Cia Com Mec) seguindo as diretrizes do General de Brigada Flávio dos Santos Lajoia Garcia, Comandante da 1ª Brigada de Cavalaria Mecanizada (1ª Bda C Mec), está atuando desde o dia 21 de março nas ruas das cidades gaúchas de Santiago, Jaguari e Unistalda, com viaturas equipadas com caixas de som, alertando a população que permaneçam o máximo possível em suas residências durante a pandemia do Coronavírus (Covid-19).	Comunicação		Sul	RS	Santiago 
55	https://operacaocovid19.defesa.gov.br/noticias/noticia/794	26/03/2020	Batalhão Mauá apoia prefeitura de Araguari contra o coronavírus	O 2º Batalhão Ferroviário (2º B Fv), Batalhão Mauá, executou no dia 24 de março de 2020, a montagem de tendas e barracas nas Unidades Básicas de Saúde (UBS) do município, em atendimento à demanda da Secretaria de Saúde da cidade para o controle das infecções pelo Coronavírus, cumprindo os acordos de cooperação do governo federal, através do Ministério da Saúde, aos estados e municípios.	Apoio de Saúde		Sudeste	MG	Araguari
56	https://operacaocovid19.defesa.gov.br/noticias/noticia/795	26/03/2020	Esquadrão atuante no enfrentamento da covid-19	O Exército Brasileiro, contribuindo para a preservação da saúde pública, está saindo às ruas para reforçar as medidas de prevenção e de controle da COVID-19 junto à sociedade, alertando a população sobre a importância de seguirem as orientações dos órgãos técnicos de saúde.	Comunicação		Sul	PR	Francisco Beltrão
57	https://operacaocovid19.defesa.gov.br/noticias/noticia/796	25/03/2020	Plano de apoio a Amazônia com destino à Boa Vista 	No dia 25 de Março o 12° Batalhão de Suprimento, “Batalhão Marquês de Pombal”, executou o Plano de Apoio a Amazônia. A missão irá prover 300 kg de Equipamentos de Proteção Individual (EPI): luvas, álcool, máscara e avental para a prevenção e combate ao coronavírus (COVID-19). Os Suprimentos foram transportados nas aeronaves do 4° Batalhão de Aviação do Exército (4º BAVEx) com destino à Guarnição de Boa Vista para atender a 1ª Brigada de Infantaria de Selva.	Apoio Logístico		Norte	RR	Boa Vista 
58	https://operacaocovid19.defesa.gov.br/noticias/noticia/797	25/03/2020	Regimento presta apoio à comunidade de São Borja 	O 2º Regimento de Cavalaria Mecanizado instalou barracas em apoio ao Hospital Ivan Goulart, no município de São Borja. Elas têm por objetivo proporcionar segurança sanitária aos profissionais de saúde na triagem de pacientes que apresentam sintomas de doença provocada pelo coronavírus.	Apoio Logístico		Sul	RS	São Borja
59	https://operacaocovid19.defesa.gov.br/noticias/noticia/798	25/03/2020	Academia Militar das Agulhas Negras promove ações de prevenção contra a disseminação do coronavírus	A Academia Militar das Agulhas Negras (AMAN) iniciou medidas preventivas com o objetivo de impedir o surgimento de casos do coronavírus (Covid-19). Entre as ações, foi estabelecido um posto de triagem na entrada da AMAN, que conta com militares do serviço de saúde do Hospital Militar de Resende (HMR) para a realização de uma primeira inspeção básica do estado de saúde de pessoas não cadastradas e que necessitam acessar a academia. Também tem sido intensificado o controle sanitário de todos os militares, com o objetivo de identificar possíveis sintomas	Inspeções Sanitárias		Sudeste	RJ	Resende
